# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	68	1672	+					dnaA		CFLA_RS00005	1605		old_locus_tag=Cfla_0001
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	68	1672	+	WP_013115255.1	WP_013115255.1		chromosomal replication initiator protein DnaA	dnaA		CFLA_RS00005	1605	534	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	2426	3556	+					dnaN		CFLA_RS00010	1131		old_locus_tag=Cfla_0002
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	2426	3556	+	WP_013115256.1	WP_013115256.1		DNA polymerase III subunit beta	dnaN		CFLA_RS00010	1131	376	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	3658	4587	+					gnd		CFLA_RS00015	930		old_locus_tag=Cfla_0003
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	3658	4587	+	WP_013115257.1	WP_013115257.1		decarboxylating 6-phosphogluconate dehydrogenase	gnd		CFLA_RS00015	930	309	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	4593	5789	+					recF		CFLA_RS00020	1197		old_locus_tag=Cfla_0004
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	4593	5789	+	WP_013115258.1	WP_013115258.1		DNA replication/repair protein RecF	recF		CFLA_RS00020	1197	398	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	5779	6402	+							CFLA_RS00025	624		old_locus_tag=Cfla_0005
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	5779	6402	+	WP_013115259.1	WP_013115259.1		DciA family protein			CFLA_RS00025	624	207	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	6742	8709	+					gyrB		CFLA_RS00030	1968		old_locus_tag=Cfla_0006
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	6742	8709	+	WP_245530402.1	WP_245530402.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		CFLA_RS00030	1968	655	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	8839	11388	+					gyrA		CFLA_RS00035	2550		old_locus_tag=Cfla_0007
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	8839	11388	+	WP_245530404.1	WP_245530404.1		DNA gyrase subunit A	gyrA		CFLA_RS00035	2550	849	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	11385	12302	+							CFLA_RS00040	918		old_locus_tag=Cfla_0008
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	11385	12302	+	WP_013115262.1	WP_013115262.1		DUF3566 domain-containing protein			CFLA_RS00040	918	305	
gene	tRNA	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	12444	12517	+							CFLA_RS00045	74		old_locus_tag=Cfla_R0001
tRNA		GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	12444	12517	+				tRNA-Ile			CFLA_RS00045	74		anticodon=GAT
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	12577	12696	+							CFLA_RS20640	120		old_locus_tag=Cfla_0009
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	12577	12696	+	WP_013115263.1	WP_013115263.1		DLW-39 family protein			CFLA_RS20640	120	39	
gene	tRNA	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	12713	12785	+							CFLA_RS00050	73		old_locus_tag=Cfla_R0002
tRNA		GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	12713	12785	+				tRNA-Ala			CFLA_RS00050	73		anticodon=TGC
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	12999	13370	+							CFLA_RS00055	372		old_locus_tag=Cfla_0010
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	12999	13370	+	WP_043598642.1	WP_043598642.1		hypothetical protein			CFLA_RS00055	372	123	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	13374	14390	+							CFLA_RS18755	1017		old_locus_tag=Cfla_0011
CDS	with_protein	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	13374	14390	+	WP_013115265.1	WP_013115265.1		radical SAM protein			CFLA_RS18755	1017	338	
gene	protein_coding	GCF_000092865.1	Primary Assembly	chromosome		NC_014151.1	14510	15739	+							CFLA_RS00065	1230		old_locus_tag=Cfla_0012
